,checkin_date,checkout_date,Destination,Title,Distance,Rating,Price_book,Price_low,Image
0,15-06-2023,30-06-2023,Delhi,Red Fox Delhi Airport,12.4 km to City centre,7.6 - Good (1645 reviews),"Hotels.com
₹5,518","Our lowest price:
₹3,443
MakeMyTrip","https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/24/70/2470202_v1.jpeg"
1,15-06-2023,30-06-2023,Delhi,Ramada By Wyndham New Delhi Pitampura,12.1 km to City centre,6.9 (11 reviews),"Agoda
₹5,852","Our lowest price:
₹5,193
Trip.com","https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/19/03/19030012.jpeg"
2,15-06-2023,30-06-2023,Delhi,Hilton Garden Inn New Delhi/Saket,9.6 km to City centre,8.4 - Very good (1080 reviews),"Agoda
₹9,440","Our lowest price:
₹9,440
Garden Inn","https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/29/1329283_v6.jpeg"
3,15-06-2023,30-06-2023,Delhi,Hotel Jyoti Mahal,3.0 km to City centre,7.2 (221 reviews),"MakeMyTrip
₹6,490","Our lowest price:
₹1,824
Agoda","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
4,15-06-2023,30-06-2023,Delhi,Holiday Inn New Delhi Int'l Airport,11.0 km to City centre,8.6 - Excellent (1616 reviews),"Agoda
₹10,519","Our lowest price:
₹10,518
Goibibo.com","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
5,15-06-2023,30-06-2023,Delhi,Amax Inn,0.9 km to City centre,7.2 (493 reviews),"Hotels.com
₹1,359","Our lowest price:
₹1,359
Hotels.com","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
6,15-06-2023,30-06-2023,Delhi,ibis New Delhi Aerocity,11.2 km to City centre,7.5 - Good (1633 reviews),"ibis
₹5,599","Our lowest price:
₹3,919
MakeMyTrip","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
7,15-06-2023,30-06-2023,Delhi,FabHotel Airlift New Delhi Airport,0.0 km to City centre,8.7 - Excellent (1797 reviews),"MakeMyTrip
₹1,802","Our lowest price:
₹1,091
Goibibo.com","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
8,15-06-2023,30-06-2023,Delhi,Sohana Palace,3.0 km to City centre,7.9 - Good (38 reviews),"Trip.com
₹1,570","Our lowest price:
₹1,067
Agoda","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
9,15-06-2023,30-06-2023,Delhi,FabHotel Cabana Greater Kailash,7.9 km to City centre,8.5 - Excellent (987 reviews),"Priceline
₹3,275","Our lowest price:
₹2,669
Agoda","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
